d,s,l,gap
40,30,3,1.2081817958677128
40,31,3,1.2082559506245893
40,32,3,1.2086078454624345
40,33,3,1.2087958117034578
40,34,3,1.2089073249106785
40,35,3,1.2092153523792755
40,36,3,1.2093206803128054
40,37,3,1.2094361569357774
40,38,3,1.2096261776581843
40,39,3,1.2096930865651037
40,40,3,1.2098622994912809
